row_id,symboling,normalized_losses,make,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,city-L/100km,highway-L/100km,horsepower_binned,diesel,gas,normal,turbo
23,1,118,dodge,two,hatchback,fwd,front,93.7,0.756,0.886,0.849,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,9.792,7.833,Low,0,1,0,1
24,1,148,dodge,four,hatchback,fwd,front,93.7,0.756,0.886,0.846,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,7.581,6.184,Low,0,1,1,0
25,1,148,dodge,four,sedan,fwd,front,93.7,0.756,0.886,0.846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,7.581,6.184,Low,0,1,1,0
26,1,148,dodge,four,sedan,fwd,front,93.7,0.756,0.886,0.846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,7.581,6.184,Low,0,1,1,0
27,1,148,dodge,four,sedan,fwd,front,93.7,0.756,0.886,0.846,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,9.792,7.833,Low,0,1,0,1
28,-1,110,dodge,four,wagon,fwd,front,103.3,0.839,0.897,1,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,9.792,7.833,Low,0,1,1,0
29,3,145,dodge,two,hatchback,fwd,front,95.9,0.832,0.921,0.839,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964,12.368,9.792,Medium,0,1,0,1
30,2,137,honda,two,hatchback,fwd,front,86.6,0.695,0.888,0.849,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,4.796,4.352,Low,0,1,1,0
31,2,137,honda,two,hatchback,fwd,front,86.6,0.695,0.888,0.849,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,7.581,6.184,Low,0,1,1,0
32,1,101,honda,two,hatchback,fwd,front,93.7,0.721,0.889,0.88,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,6.184,5.595,Low,0,1,1,0
33,1,101,honda,two,hatchback,fwd,front,93.7,0.721,0.889,0.88,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,7.833,6.912,Low,0,1,1,0
34,1,101,honda,two,hatchback,fwd,front,93.7,0.721,0.889,0.88,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,7.833,6.912,Low,0,1,1,0
35,0,110,honda,four,sedan,fwd,front,96.5,0.785,0.889,0.911,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,7.833,6.912,Low,0,1,1,0
36,0,78,honda,four,wagon,fwd,front,96.5,0.755,0.888,0.975,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,7.833,6.912,Low,0,1,1,0
37,0,106,honda,two,hatchback,fwd,front,96.5,0.805,0.906,0.891,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895,8.704,7.121,Low,0,1,1,0
38,0,106,honda,two,hatchback,fwd,front,96.5,0.805,0.906,0.891,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095,8.704,7.121,Low,0,1,1,0
39,0,85,honda,four,sedan,fwd,front,96.5,0.843,0.906,0.905,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845,8.704,7.121,Low,0,1,1,0
40,0,85,honda,four,sedan,fwd,front,96.5,0.843,0.868,0.905,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295,8.704,7.121,Low,0,1,1,0
41,0,85,honda,four,sedan,fwd,front,96.5,0.843,0.906,0.905,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945,9.792,8.393,Low,0,1,1,0
42,1,107,honda,two,sedan,fwd,front,96.5,0.813,0.917,0.853,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,9.4,7.581,Low,0,1,1,0
43,0,122,isuzu,four,sedan,rwd,front,94.3,0.82,0.858,0.895,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,9.792,8.103,Low,0,1,1,0
44,2,122,isuzu,two,hatchback,rwd,front,96,0.829,0.906,0.86,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,9.792,8.103,Low,0,1,1,0
45,0,145,jaguar,four,sedan,rwd,front,113,0.959,0.967,0.883,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,15.667,12.368,Medium,0,1,1,0
46,0,122,jaguar,four,sedan,rwd,front,113,0.959,0.967,0.883,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550,15.667,12.368,Medium,0,1,1,0
47,0,122,jaguar,two,sedan,rwd,front,102,0.921,0.981,0.799,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000,18.077,13.824,High,0,1,1,0
48,1,104,mazda,two,hatchback,fwd,front,93.1,0.765,0.892,0.905,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195,7.833,7.581,Low,0,1,1,0
49,1,104,mazda,two,hatchback,fwd,front,93.1,0.765,0.892,0.905,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095,7.581,6.184,Low,0,1,1,0
50,1,104,mazda,two,hatchback,fwd,front,93.1,0.765,0.892,0.905,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795,7.581,6.184,Low,0,1,1,0
51,1,113,mazda,four,sedan,fwd,front,93.1,0.802,0.892,0.905,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695,7.581,6.184,Low,0,1,1,0
52,1,113,mazda,four,sedan,fwd,front,93.1,0.802,0.892,0.905,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395,7.581,6.184,Low,0,1,1,0
53,3,150,mazda,two,hatchback,rwd,front,95.3,0.812,0.913,0.829,2380,rotor,two,70,4bbl,3.329751244,3.255422886,9.4,101,6000,17,23,10945,13.824,10.217,Low,0,1,1,0
54,3,150,mazda,two,hatchback,rwd,front,95.3,0.812,0.913,0.829,2380,rotor,two,70,4bbl,3.329751244,3.255422886,9.4,101,6000,17,23,11845,13.824,10.217,Low,0,1,1,0
55,3,150,mazda,two,hatchback,rwd,front,95.3,0.812,0.913,0.829,2385,rotor,two,70,4bbl,3.329751244,3.255422886,9.4,101,6000,17,23,13645,13.824,10.217,Low,0,1,1,0
56,3,150,mazda,two,hatchback,rwd,front,95.3,0.812,0.913,0.829,2500,rotor,two,80,mpfi,3.329751244,3.255422886,9.4,135,6000,16,23,15645,14.688,10.217,Medium,0,1,1,0
57,1,129,mazda,two,hatchback,fwd,front,98.8,0.854,0.924,0.898,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,9.038,7.344,Low,0,1,1,0
58,0,115,mazda,four,sedan,fwd,front,98.8,0.854,0.924,0.928,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,9.038,7.344,Low,0,1,1,0
59,1,129,mazda,two,hatchback,fwd,front,98.8,0.854,0.924,0.898,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,9.038,7.344,Low,0,1,1,0
60,0,115,mazda,four,sedan,fwd,front,98.8,0.854,0.924,0.928,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,9.038,7.344,Low,0,1,1,0
61,0,122,mazda,four,sedan,fwd,front,98.8,0.854,0.924,0.928,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795,6.528,5.595,Low,1,0,1,0
62,0,115,mazda,four,hatchback,fwd,front,98.8,0.854,0.924,0.928,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,9.038,7.344,Low,0,1,1,0
63,0,118,mazda,four,sedan,rwd,front,104.9,0.841,0.918,0.91,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,18280,12.368,8.704,Medium,0,1,1,0
64,0,122,mazda,four,sedan,rwd,front,104.9,0.841,0.918,0.91,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,18344,7.581,6.026,Low,1,0,1,0
65,-1,93,mercedes-benz,four,sedan,rwd,front,110,0.917,0.976,0.945,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,10.682,9.4,Medium,1,0,0,1
66,-1,93,mercedes-benz,four,wagon,rwd,front,110,0.917,0.976,0.982,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,10.682,9.4,Medium,1,0,0,1
67,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,0.901,0.976,0.918,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,10.682,9.4,Medium,1,0,0,1
68,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,0.974,0.996,0.941,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,10.682,9.4,Medium,1,0,0,1
69,-1,122,mercedes-benz,four,sedan,rwd,front,115.6,0.974,0.996,0.945,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,14.688,13.056,Medium,0,1,1,0
70,3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.866,0.979,0.849,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,14.688,13.056,Medium,0,1,1,0
71,0,122,mercedes-benz,four,sedan,rwd,front,120.9,1,0.996,0.948,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,40960,16.786,14.688,Medium,0,1,1,0
72,1,122,mercedes-benz,two,hardtop,rwd,front,112,0.957,1,0.926,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,16,45400,16.786,14.688,Medium,0,1,1,0
73,1,122,mercury,two,hatchback,rwd,front,102.7,0.857,0.944,0.916,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,16503,12.368,9.792,Medium,0,1,0,1
74,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.756,0.894,0.849,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,6.351,5.732,Low,0,1,1,0
75,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.756,0.894,0.849,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,7.581,6.184,Low,0,1,1,0
76,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.756,0.894,0.849,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,7.581,6.184,Low,0,1,1,0
77,1,161,mitsubishi,two,hatchback,fwd,front,93,0.756,0.886,0.849,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,9.792,7.833,Low,0,1,0,1
78,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.831,0.908,0.826,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,10.217,7.833,Low,0,1,0,1
79,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.831,0.908,0.826,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,9.4,7.344,Low,0,1,1,0
80,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832,0.921,0.839,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,24,12629,12.368,9.792,Medium,0,1,0,1
81,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832,0.921,0.839,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14869,12.368,9.792,Medium,0,1,0,1
82,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832,0.921,0.839,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14489,12.368,9.792,Medium,0,1,0,1
83,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828,0.908,0.863,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,9.4,7.344,Low,0,1,1,0
84,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828,0.908,0.863,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,9.4,7.344,Low,0,1,1,0
85,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828,0.908,0.863,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,10.217,7.833,Low,0,1,0,1
86,-1,137,mitsubishi,four,sedan,fwd,front,96.3,0.828,0.908,0.863,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,10.217,7.833,Low,0,1,1,0
87,1,128,nissan,two,sedan,fwd,front,94.5,0.794,0.886,0.911,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,7.581,6.351,Low,0,1,1,0
88,1,128,nissan,two,sedan,fwd,front,94.5,0.794,0.886,0.911,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,5.222,4.7,Low,1,0,1,0
89,1,128,nissan,two,sedan,fwd,front,94.5,0.794,0.886,0.911,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,7.581,6.351,Low,0,1,1,0
90,1,122,nissan,four,sedan,fwd,front,94.5,0.794,0.886,0.911,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,7.581,6.351,Low,0,1,1,0
91,1,103,nissan,four,wagon,fwd,front,94.5,0.818,0.886,0.895,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,7.581,6.351,Low,0,1,1,0
92,1,128,nissan,two,sedan,fwd,front,94.5,0.794,0.886,0.911,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,7.581,6.351,Low,0,1,1,0
93,1,128,nissan,two,hatchback,fwd,front,94.5,0.796,0.886,0.891,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,7.581,6.351,Low,0,1,1,0
94,1,122,nissan,four,sedan,fwd,front,94.5,0.794,0.886,0.911,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,7.581,6.351,Low,0,1,1,0
95,1,103,nissan,four,wagon,fwd,front,94.5,0.818,0.886,0.895,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,7.581,6.351,Low,0,1,1,0
96,2,168,nissan,two,hardtop,fwd,front,95.1,0.78,0.886,0.891,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,7.581,6.351,Low,0,1,1,0
97,0,106,nissan,four,hatchback,fwd,front,97.2,0.833,0.906,0.915,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,8.704,6.912,Low,0,1,1,0
98,0,106,nissan,four,sedan,fwd,front,97.2,0.833,0.906,0.915,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,8.704,6.912,Low,0,1,1,0
99,0,128,nissan,four,sedan,fwd,front,100.4,0.873,0.924,0.921,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13499,13.824,10.682,Medium,0,1,1,0
100,0,108,nissan,four,wagon,fwd,front,100.4,0.887,0.924,0.938,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,14399,13.824,10.682,Medium,0,1,1,0
101,0,108,nissan,four,sedan,fwd,front,100.4,0.887,0.924,0.921,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,13499,12.368,9.4,Medium,0,1,1,0
102,3,194,nissan,two,hatchback,rwd,front,91.3,0.82,0.943,0.831,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,17199,12.368,9.4,Medium,0,1,1,0
103,3,194,nissan,two,hatchback,rwd,front,91.3,0.82,0.943,0.831,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,13.824,10.217,High,0,1,0,1
104,1,231,nissan,two,hatchback,rwd,front,99.2,0.858,0.943,0.831,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,18399,12.368,9.4,Medium,0,1,1,0
105,0,161,peugot,four,sedan,rwd,front,107.9,0.897,0.95,0.948,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900,12.368,9.792,Low,0,1,1,0
106,0,161,peugot,four,sedan,rwd,front,107.9,0.897,0.95,0.948,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,33,13200,8.393,7.121,Low,1,0,0,1
107,0,122,peugot,four,wagon,rwd,front,114.2,0.956,0.95,0.982,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440,12.368,9.792,Low,0,1,1,0
108,0,122,peugot,four,wagon,rwd,front,114.2,0.956,0.95,0.982,3430,l,four,152,idi,3.7,3.52,21,95,4150,25,25,13860,9.4,9.4,Low,1,0,0,1
109,0,161,peugot,four,sedan,rwd,front,107.9,0.897,0.95,0.948,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,12.368,9.792,Low,0,1,1,0
110,0,161,peugot,four,sedan,rwd,front,107.9,0.897,0.95,0.948,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,16900,8.393,7.121,Low,1,0,0,1
111,0,122,peugot,four,wagon,rwd,front,114.2,0.956,0.95,0.948,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695,12.368,9.792,Low,0,1,1,0
112,0,122,peugot,four,wagon,rwd,front,114.2,0.956,0.95,0.982,3485,l,four,152,idi,3.7,3.52,21,95,4150,25,25,17075,9.4,9.4,Low,1,0,0,1
113,0,161,peugot,four,sedan,rwd,front,107.9,0.897,0.95,0.948,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,12.368,9.792,Low,0,1,1,0
114,0,161,peugot,four,sedan,rwd,front,107.9,0.897,0.95,0.948,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,17950,8.393,7.121,Low,1,0,0,1
115,0,161,peugot,four,sedan,rwd,front,108,0.897,0.949,0.936,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24,18150,13.056,9.792,Medium,0,1,0,1
116,1,119,plymouth,two,hatchback,fwd,front,93.7,0.756,0.886,0.849,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572,6.351,5.732,Low,0,1,1,0
117,1,119,plymouth,two,hatchback,fwd,front,93.7,0.756,0.886,0.849,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957,9.792,7.833,Low,0,1,0,1
118,1,154,plymouth,four,hatchback,fwd,front,93.7,0.756,0.886,0.846,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,7.581,6.184,Low,0,1,1,0
119,1,154,plymouth,four,sedan,fwd,front,93.7,0.804,0.886,0.849,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,7.581,6.184,Low,0,1,1,0
120,1,154,plymouth,four,sedan,fwd,front,93.7,0.804,0.886,0.849,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,7.581,6.184,Low,0,1,1,0
121,-1,74,plymouth,four,wagon,fwd,front,103.3,0.839,0.897,1,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921,9.792,7.833,Low,0,1,1,0
122,3,122,plymouth,two,hatchback,rwd,front,95.9,0.832,0.921,0.839,2818,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,12764,12.368,9.792,Medium,0,1,0,1
123,3,186,porsche,two,hatchback,rwd,front,94.5,0.812,0.949,0.839,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018,12.368,8.704,Medium,0,1,1,0
124,3,122,porsche,two,hardtop,rwd,rear,89.5,0.812,0.903,0.863,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528,13.824,9.4,High,0,1,1,0
125,3,122,porsche,two,hardtop,rwd,rear,89.5,0.812,0.903,0.863,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028,13.824,9.4,High,0,1,1,0
126,3,122,porsche,two,convertible,rwd,rear,89.5,0.812,0.903,0.863,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028,13.824,9.4,High,0,1,1,0
127,0,122,renault,four,wagon,fwd,front,96.1,0.872,0.924,0.923,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104,5125.369458,23,31,9295,10.217,7.581,Low,0,1,1,0
128,2,122,renault,two,hatchback,fwd,front,96.1,0.85,0.925,0.844,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104,5125.369458,23,31,9895,10.217,7.581,Low,0,1,1,0
129,3,150,saab,two,hatchback,fwd,front,99.1,0.897,0.924,0.938,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850,11.19,8.393,Low,0,1,1,0
130,2,104,saab,four,sedan,fwd,front,99.1,0.897,0.924,0.938,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170,11.19,8.393,Low,0,1,1,0
131,3,150,saab,two,hatchback,fwd,front,99.1,0.897,0.924,0.938,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040,11.19,8.393,Low,0,1,1,0
132,2,104,saab,four,sedan,fwd,front,99.1,0.897,0.924,0.938,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510,11.19,8.393,Low,0,1,1,0
133,3,150,saab,two,hatchback,fwd,front,99.1,0.897,0.924,0.938,2808,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18150,12.368,9.038,Medium,0,1,0,1
134,2,104,saab,four,sedan,fwd,front,99.1,0.897,0.924,0.938,2847,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18620,12.368,9.038,Medium,0,1,0,1
135,2,83,subaru,two,hatchback,fwd,front,93.7,0.754,0.881,0.898,2050,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,31,36,5118,7.581,6.528,Low,0,1,1,0
136,2,83,subaru,two,hatchback,fwd,front,93.7,0.759,0.883,0.898,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053,9.038,7.581,Low,0,1,1,0
137,2,83,subaru,two,hatchback,4wd,front,93.3,0.756,0.886,0.931,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603,9.038,7.581,Low,0,1,1,0
138,0,102,subaru,four,sedan,fwd,front,97.2,0.827,0.908,0.878,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126,7.344,6.351,Low,0,1,1,0
139,0,102,subaru,four,sedan,fwd,front,97.2,0.827,0.908,0.878,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775,8.393,7.121,Low,0,1,1,0
140,0,102,subaru,four,sedan,fwd,front,97.2,0.827,0.908,0.878,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,26,32,9960,9.038,7.344,Low,0,1,1,0
